,const,linear_drift,scene_boxcar,scene_hrf
368.0,1.0,-0.6668175645088275,1.0,1.0
369.0,1.0,-0.6659121774558624,1.0,1.0
370.0,1.0,-0.6650067904028972,1.0,1.0
371.0,1.0,-0.6641014033499322,1.0,1.0
372.0,1.0,-0.663196016296967,1.0,1.0
373.0,1.0,-0.6622906292440018,1.0,1.0
374.0,1.0,-0.6613852421910367,1.0,1.0
375.0,1.0,-0.6604798551380715,1.0,1.0
376.0,1.0,-0.6595744680851063,1.0,1.0
377.0,1.0,-0.6586690810321412,1.0,1.0
378.0,1.0,-0.6577636939791761,1.0,1.0
379.0,1.0,-0.6568583069262109,1.0,1.0
380.0,1.0,-0.6559529198732459,1.0,1.0
381.0,1.0,-0.6550475328202807,1.0,1.0
382.0,1.0,-0.6541421457673156,1.0,1.0
383.0,1.0,-0.6532367587143504,1.0,1.0
384.0,1.0,-0.6523313716613852,1.0,1.0
385.0,1.0,-0.65142598460842,1.0,1.0
386.0,1.0,-0.6505205975554549,1.0,1.0
387.0,1.0,-0.6496152105024898,1.0,1.0
388.0,1.0,-0.6487098234495247,1.0,1.0
389.0,1.0,-0.6478044363965596,1.0,1.0
390.0,1.0,-0.6468990493435944,1.0,1.0
391.0,1.0,-0.6459936622906293,1.0,1.0
392.0,1.0,-0.6450882752376641,1.0,1.0
393.0,1.0,-0.6441828881846989,1.0,1.0
394.0,1.0,-0.6432775011317338,1.0,1.0
395.0,1.0,-0.6423721140787686,1.0,1.0
396.0,1.0,-0.6414667270258035,1.0,1.0
397.0,1.0,-0.6405613399728384,1.0,1.0
398.0,1.0,-0.6396559529198733,1.0,1.0
399.0,1.0,-0.6387505658669081,1.0,1.0
400.0,1.0,-0.637845178813943,1.0,1.0
401.0,1.0,-0.6369397917609778,1.0,1.0
402.0,1.0,-0.6360344047080126,1.0,1.0
403.0,1.0,-0.6351290176550475,1.0,1.0
404.0,1.0,-0.6342236306020823,1.0,1.0
405.0,1.0,-0.6333182435491173,1.0,1.0
406.0,1.0,-0.6324128564961521,1.0,1.0
407.0,1.0,-0.631507469443187,1.0,1.0
408.0,1.0,-0.6306020823902219,1.0,1.0
409.0,1.0,-0.6296966953372567,1.0,1.0
410.0,1.0,-0.6287913082842915,1.0,1.0
411.0,1.0,-0.6278859212313264,1.0,1.0
412.0,1.0,-0.6269805341783612,1.0,1.0
413.0,1.0,-0.6260751471253961,1.0,1.0
414.0,1.0,-0.625169760072431,1.0,1.0
415.0,1.0,-0.6242643730194658,1.0,1.0
416.0,1.0,-0.6233589859665007,1.0,1.0
417.0,1.0,-0.6224535989135356,1.0,1.0
418.0,1.0,-0.6215482118605704,1.0,1.0
419.0,1.0,-0.6206428248076052,1.0,1.0
420.0,1.0,-0.6197374377546401,1.0,1.0
421.0,1.0,-0.6188320507016749,1.0,1.0
422.0,1.0,-0.6179266636487099,1.0,1.0
423.0,1.0,-0.6170212765957447,1.0,1.0
424.0,1.0,-0.6161158895427795,1.0,1.0
425.0,1.0,-0.6152105024898145,1.0,1.0
426.0,1.0,-0.6143051154368493,1.0,1.0
427.0,1.0,-0.6133997283838841,1.0,1.0
428.0,1.0,-0.612494341330919,1.0,1.0
429.0,1.0,-0.6115889542779538,1.0,1.0
430.0,1.0,-0.6106835672249886,1.0,1.0
431.0,1.0,-0.6097781801720236,1.0,1.0
432.0,1.0,-0.6088727931190584,1.0,1.0
433.0,1.0,-0.6079674060660933,1.0,1.0
434.0,1.0,-0.6070620190131282,1.0,1.0
435.0,1.0,-0.606156631960163,1.0,1.0
436.0,1.0,-0.6052512449071978,1.0,1.0
437.0,1.0,-0.6043458578542327,1.0,1.0
438.0,1.0,-0.6034404708012675,1.0,1.0
439.0,1.0,-0.6025350837483023,1.0,1.0
440.0,1.0,-0.6016296966953373,1.0,1.0
441.0,1.0,-0.6007243096423721,1.0,1.0
442.0,1.0,-0.599818922589407,1.0,1.0
443.0,1.0,-0.5989135355364419,1.0,1.0
444.0,1.0,-0.5980081484834767,1.0,1.0
445.0,1.0,-0.5971027614305116,1.0,1.0
446.0,1.0,-0.5961973743775464,1.0,1.0
447.0,1.0,-0.5952919873245812,1.0,1.0
448.0,1.0,-0.594386600271616,1.0,1.0
449.0,1.0,-0.593481213218651,1.0,1.0
450.0,1.0,-0.5925758261656858,1.0,1.0
451.0,1.0,-0.5916704391127208,1.0,1.0
452.0,1.0,-0.5907650520597556,1.0,1.0
453.0,1.0,-0.5898596650067904,1.0,1.0
454.0,1.0,-0.5889542779538253,1.0,1.0
455.0,1.0,-0.5880488909008601,1.0,1.0
456.0,1.0,-0.5871435038478949,1.0,1.0
457.0,1.0,-0.5862381167949298,1.0,1.0
458.0,1.0,-0.5853327297419647,1.0,1.0
459.0,1.0,-0.5844273426889995,1.0,1.0
460.0,1.0,-0.5835219556360345,1.0,1.0
461.0,1.0,-0.5826165685830693,1.0,1.0
462.0,1.0,-0.5817111815301041,1.0,1.0
463.0,1.0,-0.580805794477139,1.0,1.0
464.0,1.0,-0.5799004074241738,1.0,1.0
465.0,1.0,-0.5789950203712086,1.0,1.0
466.0,1.0,-0.5780896333182435,1.0,1.0
467.0,1.0,-0.5771842462652784,1.0,1.0
468.0,1.0,-0.5762788592123133,1.0,1.0
469.0,1.0,-0.5753734721593482,1.0,1.0
470.0,1.0,-0.574468085106383,1.0,1.0
471.0,1.0,-0.5735626980534179,1.0,1.0
472.0,1.0,-0.5726573110004527,1.0,1.0
473.0,1.0,-0.5717519239474875,1.0,1.0
474.0,1.0,-0.5708465368945224,1.0,1.0
475.0,1.0,-0.5699411498415572,1.0,1.0
476.0,1.0,-0.5690357627885921,1.0,1.0
477.0,1.0,-0.568130375735627,1.0,1.0
478.0,1.0,-0.5672249886826619,1.0,1.0
479.0,1.0,-0.5663196016296967,1.0,1.0
480.0,1.0,-0.5654142145767316,1.0,1.0
481.0,1.0,-0.5645088275237664,1.0,1.0
482.0,1.0,-0.5636034404708012,1.0,1.0
483.0,1.0,-0.5626980534178361,1.0,1.0
484.0,1.0,-0.5617926663648709,1.0,1.0
485.0,1.0,-0.5608872793119059,1.0,1.0
486.0,1.0,-0.5599818922589407,1.0,1.0
487.0,1.0,-0.5590765052059756,1.0,1.0
488.0,1.0,-0.5581711181530105,1.0,1.0
489.0,1.0,-0.5572657311000453,1.0,1.0
490.0,1.0,-0.5563603440470801,1.0,1.0
491.0,1.0,-0.555454956994115,1.0,1.0
492.0,1.0,-0.5545495699411498,1.0,1.0
493.0,1.0,-0.5536441828881846,1.0,1.0
494.0,1.0,-0.5527387958352196,1.0,1.0
495.0,1.0,-0.5518334087822544,1.0,1.0
